,Address,Area,Baths,Beds,Price
0,"4201 Cathedral Ave Nw Apt 116e, Washington, DC 20016",902 sqft,1,1,$300k
1,"1419 Varnum St Nw, Washington, DC 20011","1,640 sqft",2,3,$625k
2,"2035 2nd Street N Gl #02, Washington, DC 20001","1,123 sqft",2,2,$549k
3,"1514 21st St Nw Apt 8, Washington, DC 20036","1,915 sqft",3,2,$1.33m
4,"26 Sheridan St Ne, Washington, DC 20011",0.05 acres,2,3,$410k
5,"3019 Nash Pl Se, Washington, DC 20020","2,415 sqft",3,4,$519k
6,"2708 Olive St Nw, Washington, DC 20007","2,000 sqft",5,3,$1.65m
7,"1458 Columbia Rd Nw Apt 303, Washington, DC 20009",550 sqft,1,1,$300k
8,"1441 Rhode Island Ave Nw Apt 105, Washington, DC 20005",700 sqft,1,1,$490k
9,"532 Oklahoma Ave Ne, Washington, DC 20002",0.04 acres,3,4,$750k
10,"3706 Jenifer St Nw, Washington, DC 20015","2,861 sqft",4,4,$975k
11,"2926 Porter St Nw Apt 304, Washington, DC 20008",700 sqft,1,1,$499k
12,"2500 Virginia Ave Nw #705-s, Washington, DC 20037","1,880 sqft",3,2,$1.30m
13,"777 7th St Nw Apt 426, Washington, DC 20001",994 sqft,2,2,$610k
14,"1300 N St Nw Apt 112, Washington, DC 20005",524 sqft,1,N/A,$339k
15,"618 Southern Ave Se, Washington, DC 20032",0.04 acres,2,2,$360k
16,"1419 10th St Nw, Washington, DC 20001",0.04 acres,3,3,$1.33m
17,"225 12th St Ne, Washington, DC 20002","2,666 sqft",4,4,$1.60m
18,"1822 15th St Nw Apt 201, Washington, DC 20009",277 sqft,1,N/A,$265k
19,"1022 17th St Ne, Washington, DC 20002",0.1 acres,N/A,N/A,$1m
20,"714 Decatur St Nw, Washington, DC 20011",0.04 acres,4,4,$850k
21,"1 Derby Ln Se, Washington, DC 20003","1,472 sqft",3,2,$795k
22,"1901 Wyoming Ave Nw Apt 60, Washington, DC 20009",N/A,1,1,$500k
23,"1115 12th St Nw Apt T3, Washington, DC 20005","1,086 sqft",2,2,$625k
24,"715 6th St Nw Unit 1102, Washington, DC 20001","1,415 sqft",2,3,$850k
25,"1317 Fernway Rd Nw, Washington, DC 20012","1,962 sqft",2,3,$629k
26,"413 12th St Ne, Washington, DC 20002",0.03 acres,2,4,$725k
27,"1414 22nd St Nw Apt 3, Washington, DC 20037",825 sqft,1,1,$660k
28,"1609 Isherwood St Ne Apt 2, Washington, DC 20002",614 sqft,1,1,$320k
29,"1221 42nd St Se #32, Washington, DC 20020","1,716 sqft",4,3,$299k
30,"1421 Columbia Rd Nw Apt B4, Washington, DC 20009",867 sqft,1,2,$350k
31,"4325 47th St Nw, Washington, DC 20016","2,319 sqft",4,5,$1.35m
32,"429 N St Sw #s504, Washington, DC 20024","1,211 sqft",2,2,$620k
33,"4935 New Hampshire Ave Nw, Washington, DC 20011",0.03 acres,2,3,$550k
34,"1169 Summit St Ne, Washington, DC 20002",0.03 acres,1,2,$280k
35,"2456 20th St Nw Apt 403, Washington, DC 20009",600 sqft,1,1,$399k
36,"2351 Hunter Pl Se, Washington, DC 20020","1,152 sqft",2,2,$250k
37,"1700 Lang Pl Ne, Washington, DC 20002",0.05 acres,3,3,$639k
38,"1339 Meridian Pl Nw, Washington, DC 20010","1,328 sqft",2,3,$598k
39,"2561 36th St Se, Washington, DC 20020",0.2 acres,3,4,$330k
40,"1080 Wisconsin Ave Nw Apt 1010, Washington, DC 20007","1,404 sqft",2,2,$875k
41,"4042 Mansion Ct Nw, Washington, DC 20007","3,018 sqft",4,4,$1.71m
42,"213 14th St Se, Washington, DC 20003",0.03 acres,2,2,$750k
43,"635 49th St Ne, Washington, DC 20019",0.13 acres,1,3,$230k
44,"4713 B St Se, Washington, DC 20019","1,200 sqft",1,2,$199k
45,"1610 11th St Nw Apt 4b, Washington, DC 20001","1,410 sqft",2,2,$875k
46,"3159 Westover Dr Se, Washington, DC 20020","1,814 sqft",2,4,$465k
47,"3943 Blaine St Ne, Washington, DC 20019","1,683 sqft",1,3,$300k
48,"84 P St Nw, Washington, DC 20001","4,750 sqft",N/A,N/A,$2.19m
49,"4301 37th St Nw, Washington, DC 20008",0.08 acres,4,4,$939k
50,"3210 15th Pl Se, Washington, DC 20020",0.05 acres,3,4,$345k
51,"514 11th St Se, Washington, DC 20003","1,950 sqft",2,3,$825k
52,"1720 Montello Ave Ne, Washington, DC 20002",0.03 acres,4,4,$800k
53,"80 P St Nw, Washington, DC 20001","2,400 sqft",N/A,N/A,$1.95m
54,"1367 Barnaby Ter Se, Washington, DC 20032","1,116 sqft",3,4,$350k
55,"3337 Clay Pl Ne, Washington, DC 20019",0.03 acres,1,2,$299k
56,"1930 Biltmore St Nw #300, Washington, DC 20009","1,100 sqft",2,2,$684k
57,"1128 10th St Nw, Washington, DC 20001",0.06 acres,N/A,N/A,$3.00m
58,"3326 Prospect St Nw, Washington, DC 20007","2,040 sqft",2,3,$995k
59,"5152 Manning Pl Nw, Washington, DC 20016","5,378 sqft",7,6,$2.50m
60,"701 Brandywine St Se Apt 104, Washington, DC 20032",708 sqft,1,2,$95k
61,"1311 Fort Stevens Dr Nw, Washington, DC 20011",0.11 acres,N/A,N/A,$900k
62,"736 Kenyon St Nw #2, Washington, DC 20010","1,400 sqft",3,3,$900k
63,"736 Kenyon St Nw #1, Washington, DC 20010","1,650 sqft",3,3,$750k
64,"436 24th St Ne, Washington, DC 20002",0.08 acres,1,3,$500k
65,"82 P St Nw, Washington, DC 20001","1,715 sqft",2,2,$849k
66,"4201 Cathedral Ave Nw Apt 907w, Washington, DC 20016",888 sqft,1,1,$294k
67,"3961 Martin Luther King Jr Ave Sw, Washington, DC 20032","1,890 sqft",2,3,$279k
68,"3052 R St Nw #307, Washington, DC 20007","2,210 sqft",4,3,$2.55m
